section,id,name,nameJa,shortDescEn,descEn,shortDescJa,descJa
abilities,adaptability,Adaptability,てきおうりょく,This Pokemon's same-type attack bonus (STAB) is 2 instead of 1.5.,"This Pokemon's moves that match one of its types have a same-type attack bonus (STAB) of 2 instead of 1.5.",このポケモンのタイプ一致技の威力が1.5倍ではなく2倍になる。,このポケモンのタイプ一致技の威力が1.5倍ではなく2倍になる。
abilities,aerilate,Aerilate,スカイスキン,This Pokemon's Normal-type moves become Flying type and have 1.2x power.,"This Pokemon's Normal-type moves become Flying-type moves and have their power multiplied by 1.2. This effect comes after other effects that change a move's type, but before Ion Deluge and Electrify's effects.",このポケモンのノーマルタイプの技がひこうタイプになり、威力が1.2倍になる。,このポケモンのノーマルタイプの技がひこうタイプになり、威力が1.2倍になる。他のタイプ変化効果の後、かつ「プラズマシャワー」「でんきスキン」等の効果の前に適用される。
abilities,aftermath,Aftermath,ゆうばく,"If this Pokemon is KOed with a contact move, that move's user loses 1/4 its max HP.","If this Pokemon is knocked out with a contact move, that move's user loses 1/4 of its maximum HP, rounded down. This effect is prevented if the move's user has the Magic Guard Ability or if any active Pokemon has the Damp Ability.",このポケモンが直接攻撃でひんしになると、相手の最大HPの1/4のダメージを与える。,このポケモンが直接攻撃でひんしになると、相手の最大HPの1/4のダメージを与える。相手が「マジックガード」を持っているか、場に「しめりけ」を持つポケモンがいる場合は無効。
abilities,airlock,Air Lock,エアロック,"While this Pokemon is active, the effects of weather conditions are disabled.","While this Pokemon is active, the effects of weather conditions are disabled.",このポケモンが場に出ている間、天候の影響を無効化する。,このポケモンが場に出ている間、天候の影響を無効化する。
abilities,analytic,Analytic,アナライズ,This Pokemon's attacks have 1.3x power if it is the last to move in a turn.,The power of this Pokemon's move is multiplied by 1.3 if it is the last to move in a turn. Does not affect Doom Desire...,このターンの最後に攻撃すると、技の威力が1.3倍になる。,このターンの最後に攻撃すると、技の威力が1.3倍になる。「はめつのねがい」には影響しない。
abilities,magnetpull,Magnet Pull,じりょく,"Prevents opposing Steel-type Pokemon from choosing to switch out, unless they are holding a Shed Shell or are a Ghost type.","Prevents opposing Steel-type Pokemon from choosing to switch out, unless they are holding a Shed Shell or are a Ghost type.",相手の鋼タイプのポケモンは交代できなくなる。（「ヌケニン」の持つ「ぬけがら」やゴーストタイプを除く）,相手の鋼タイプのポケモンは交代できなくなる。（「ヌケニン」の持つ「ぬけがら」やゴーストタイプを除く）
abilities,marvelscale,Marvel Scale,ふしぎなうろこ,"If this Pokemon has a non-volatile status condition, its Defense is multiplied by 1.5.","If this Pokemon has a non-volatile status condition, its Defense is multiplied by 1.5.",状態異常のとき、防御が1.5倍になる。,状態異常のとき、防御が1.5倍になる。
abilities,megalauncher,Mega Launcher,メガランチャー,This Pokemon's pulse moves have 1.5x power. Heal Pulse heals 3/4 target's max HP.,"This Pokemon's pulse moves have their power multiplied by 1.5. Heal Pulse restores 3/4 of a target's maximum HP, rounded half down.",波動系の技の威力が1.5倍になる。「いやしのはどう」の回復量が最大HPの3/4になる。,波動系の技の威力が1.5倍になる。「いやしのはどう」の回復量が最大HPの3/4になる。
abilities,megasol,Mega Sol,メガソーラー,This Pokemon's moves are used as if the effects of Sunny Day were active.,This Pokemon's moves are used as if the effects of Sunny Day were active.,天候が「ひざしがつよい」状態であるかのように技を使用できる。,天候が「ひざしがつよい」状態であるかのように技を使用できる。
abilities,merciless,Merciless,ひとでなし,This Pokemon's attacks are critical hits if the target is poisoned.,This Pokemon's attacks are critical hits if the target is poisoned.,相手が毒状態のとき、攻撃が必ず急所に当たる。,相手が毒状態のとき、攻撃が必ず急所に当たる。
abilities,mimicry,Mimicry,ぎたい,This Pokemon's types change to match the Terrain. Type reverts when Terrain ends.,"This Pokemon's types change to match the active Terrain when this Pokemon acquires this Ability, or whenever a Terrain begins. Electric type during Electric Terrain, Grass type during Grassy Terrain, Fairy type during Misty Terrain, and Psychic type during Psychic Terrain. If this Ability is acquired without an active Terrain, or a Terrain ends, this Pokemon's types become the original types for its species.",フィールドに対応してタイプが変化する。フィールドが終了すると元に戻る。,フィールドに対応してタイプが変化する。エレキフィールドならでんき、グラスフィールドならくさ、ミストフィールドならフェアリー、サイコフィールドならエスパータイプになる。フィールドがない場合や終了時は元のタイプに戻る。
