section,id,name,nameJa,shortDescEn,descEn,shortDescJa,descJa
moves,covet,Covet,,"If the user has no item, it steals the target's.","If this attack was successful and the user has not fainted, it steals the target's held item if the user is not holding one. The target's item is not stolen if it is a Mail or Z-Crystal, or if the target is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, a Silvally holding a Memory, or a Pokemon that can Mega Evolve holding the Mega Stone for its species. Items lost to this move cannot be regained with Recycle or the Harvest Ability.",持ち物がない時、相手の持ち物を奪う。,"自分が道具を持っていない場合、攻撃が成功すると相手の持っている道具を奪う。"
moves,crabhammer,Crabhammer,,High critical hit ratio.,Has a higher chance for a critical hit.,急所に当たりやすい。,"急所に当たりやすい。"
moves,crosschop,Cross Chop,,High critical hit ratio.,Has a higher chance for a critical hit.,急所に当たりやすい。,"急所に当たりやすい。"
moves,crosspoison,Cross Poison,,High critical hit ratio. 10% chance to poison.,Has a 10% chance to poison the target and a higher chance for a critical hit.,急所に当たりやすく10%で毒にする。,"10%の確率で相手を「どく」状態にし、急所に当たりやすい。"
moves,crunch,Crunch,,20% chance to lower the target's Defense by 1.,Has a 20% chance to lower the target's Defense by 1 stage.,20%で相手の防御を1段階下げる。,"20%の確率で相手の防御ランクを1段階下げる。"
moves,crushclaw,Crush Claw,,50% chance to lower the target's Defense by 1.,Has a 50% chance to lower the target's Defense by 1 stage.,50%で相手の防御を1段階下げる。,"50%の確率で相手の防御ランクを1段階下げる。"
moves,curse,Curse,,"Curses if Ghost, else -1 Spe, +1 Atk, +1 Def.","If the user is not a Ghost type, lowers the user's Speed by 1 stage and raises the user's Attack and Defense by 1 stage. If the user is a Ghost type, the user loses 1/2 of its maximum HP, rounded down and even if it would cause fainting, in exchange for the target losing 1/4 of its maximum HP, rounded down, at the end of each turn while it is active. If the target uses Baton Pass, the replacement will continue to be affected. Fails if there is no target or if the target is already affected.",ゴーストはHPを削り呪う。他は素早さ-1、攻撃・防御+1。,"自分がゴーストタイプなら最大HPの1/2を削り、相手を呪い状態にする。それ以外なら自分の素早さランクを1段階下げ、攻撃・防御ランクを1段階ずつ上げる。"
moves,darkestlariat,Darkest Lariat,,Ignores the target's stat stage changes.,"Ignores the target's stat stage changes, including evasiveness.",相手の能力変化を無視。,"相手の能力ランク変化を無視してダメージを与える。"
moves,darkpulse,Dark Pulse,,20% chance to make the target flinch.,Has a 20% chance to make the target flinch.,20%で相手をひるませる。,"20%の確率で相手をひるませる。"
moves,dazzlinggleam,Dazzling Gleam,,No additional effect. Hits adjacent foes.,No additional effect.,追加効果なし。,"特に追加効果なし。周囲の相手全員を攻撃する。"
moves,decorate,Decorate,,Raises the target's Attack and Sp. Atk by 2.,Raises the target's Attack and Special Attack by 2 stages.,相手の攻撃と特攻を2段階上げる。,"対象の攻撃ランクと特攻ランクを2段階ずつ上げる。"
moves,defog,Defog,,-1 evasion; ends user and target hazards/terrain.,"Lowers the target's evasiveness by 1 stage. If this move is successful and whether or not the target's evasiveness was affected, the effects of Reflect, Light Screen, Aurora Veil, Safeguard, Mist, Spikes, Toxic Spikes, Stealth Rock, and Sticky Web end for the target's side, and the effects of Spikes, Toxic Spikes, Stealth Rock, and Sticky Web end for the user's side. Ignores a target's substitute, although a substitute will still block the lowering of evasiveness. If there is a terrain active and this move is successful, the terrain will be cleared.",回避率を下げ、壁・場・地形の効果を消す。,"相手の回避率を1段階下げ、両方の場の壁・場・地形の効果を解除する。"
moves,destinybond,Destiny Bond,,"If an opponent knocks out the user, it also faints.","Until the user's next move, if an opposing Pokemon's attack knocks the user out, that Pokemon faints as well, unless the attack was Doom Desire or Future Sight. Fails if the user used this move successfully as its last move, disregarding moves used through the Dancer Ability.",倒されると相手も道連れにする。,"この技を使った後、相手の攻撃で倒されると相手も道連れにする。"
moves,detect,Detect,,Prevents moves from affecting the user this turn.,"The user is protected from most attacks made by other Pokemon during this turn. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",攻撃をかわす。,"このターンの相手の技をすべて無効にする。連続で使うと失敗しやすい。"
moves,dig,Dig,,"Digs underground turn 1, strikes turn 2.","This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Earthquake and Magnitude but takes double damage from them, and is also unaffected by weather. If the user is holding a Power Herb, the move completes in one turn.",1ターン目に潜り、2ターン目に攻撃。,"1ターン目に地中に潜り、2ターン目に攻撃する。"
moves,direclaw,Dire Claw,,"30% chance to sleep, poison, or paralyze target.","Has a 30% chance to cause the target to either fall asleep, become poisoned, or become paralyzed.",30%で眠り・毒・麻痺のいずれかにする。,"30%の確率で、相手を「ねむり」「どく」「まひ」のいずれかの状態にする。"
moves,disable,Disable,,"For 4 turns, disables the target's last move used.","For 4 turns, the target's last move used becomes disabled. Fails if one of the target's moves is already disabled, if the target has not made a move, if the target no longer knows the move, or if the move was a Max or G-Max Move.",4ターンの間、相手の最後に出した技を封じる。,"4ターンの間、対象が最後に使った技を封印して使えなくする。"
moves,discharge,Discharge,,30% chance to paralyze adjacent Pokemon.,Has a 30% chance to paralyze the target.,30%で相手を麻痺させる。,"30%の確率で相手を「まひ」状態にする。"
moves,dive,Dive,,"Dives underwater turn 1, strikes turn 2.","This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Surf and Whirlpool but takes double damage from them, and is also unaffected by weather. If the user is holding a Power Herb, the move completes in one turn.",1ターン目に潜り、2ターン目に攻撃。,"1ターン目に水中に潜り、2ターン目に攻撃する。"
moves,doubleedge,Double-Edge,,Has 33% recoil.,"If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP.",与えたダメージの33%の反動。,"与えたダメージの約33%の反動ダメージを自分が受ける。"
moves,doublehit,Double Hit,,Hits 2 times in one turn.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",2回連続攻撃。,"2回連続で攻撃する。"
moves,doubleteam,Double Team,,Raises the user's evasiveness by 1.,Raises the user's evasiveness by 1 stage.,自分の回避率を1段階上げる。,"自分の回避率ランクを1段階上げる。"
moves,dracometeor,Draco Meteor,,Lowers the user's Sp. Atk by 2.,Lowers the user's Special Attack by 2 stages.,自分の特攻を2段階下げる。,"自分の特攻ランクを2段階下げる。"
moves,dragoncheer,Dragon Cheer,,"Ally: Crit ratio +1, or +2 if ally is Dragon type.","Raises the target's chance for a critical hit by 1 stage, or by 2 stages if the target is Dragon type. Fails if there is no ally adjacent to the user, or if the target already has this effect or the Focus Energy effect. Baton Pass can be used to transfer this effect to an ally.",味方の急所率を上げる。ドラゴンなら2段階。,"味方の急所ランクを1段階上げる。味方がドラゴンタイプなら2段階上げる。"
moves,dragonclaw,Dragon Claw,,No additional effect.,No additional effect.,追加効果なし。,"特に追加効果なし。"
moves,dragondance,Dragon Dance,,Raises the user's Attack and Speed by 1.,Raises the user's Attack and Speed by 1 stage.,自分の攻撃と素早さを1段階上げる。,"自分の攻撃ランクと素早さランクを1段階ずつ上げる。"
moves,dragondarts,Dragon Darts,,Hits twice. Doubles: Tries to hit each foe once.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit. In Double Battles, this move attempts to hit the targeted Pokemon and its ally once each. If hitting one of these Pokemon would be prevented by immunity, protection, semi-invulnerability, an Ability, or accuracy, it attempts to hit the other Pokemon twice instead. If this move is redirected, it hits that target twice.",2回連続攻撃。ダブルでは相手2体を1回ずつ。,"2回連続で攻撃する。ダブルバトルでは、相手のポケモン2体をそれぞれ1回ずつ攻撃する。"
moves,dragonpulse,Dragon Pulse,,No additional effect.,No additional effect.,追加効果なし。,"特に追加効果なし。"
moves,dragonrush,Dragon Rush,,20% chance to make the target flinch.,Has a 20% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active.,20%で相手をひるませる。,"20%の確率で相手をひるませる。相手が「ちいさくなる」状態だと必中しダメージが2倍になる。"
moves,dragontail,Dragon Tail,,Forces the target to switch to a random ally.,"If both the user and the target have not fainted, the target is forced to switch out and be replaced with a random unfainted ally. This effect fails if the target used Ingrain previously, has the Suction Cups Ability, or this move hit a substitute.",相手を強制交代させる。,"相手を強制的に交代させる。"
moves,drainingkiss,Draining Kiss,,User recovers 75% of the damage dealt.,"The user recovers 3/4 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",与えたダメージの75%を回復。,"与えたダメージの3/4のHPを回復する。"
moves,drainpunch,Drain Punch,,User recovers 50% of the damage dealt.,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",与えたダメージの50%を回復。,"与えたダメージの半分のHPを回復する。"
moves,drillpeck,Drill Peck,,No additional effect.,No additional effect.,追加効果なし。,"特に追加効果なし。"
moves,drillrun,Drill Run,,High critical hit ratio.,Has a higher chance for a critical hit.,急所に当たりやすい。,"急所に当たりやすい。"
moves,dualwingbeat,Dual Wingbeat,,Hits 2 times in one turn.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",2回連続攻撃。,"2回連続で攻撃する。"
moves,dynamicpunch,Dynamic Punch,,100% chance to confuse the target.,Has a 100% chance to confuse the target.,100%で相手を混乱させる。,"100%の確率で相手を混乱状態にする。"
moves,earthpower,Earth Power,,10% chance to lower the target's Sp. Def by 1.,Has a 10% chance to lower the target's Special Defense by 1 stage.,10%で相手の特防を1段階下げる。,"10%の確率で相手の特防ランクを1段階下げる。"
moves,earthquake,Earthquake,,Hits adjacent Pokemon. Double damage on Dig.,Damage doubles if the target is using Dig.,周囲のポケモンを攻撃。潜っている相手には2倍。,"周囲のポケモン全員を攻撃する。地中に潜っている相手にはダメージが2倍になる。"
moves,eerieimpulse,Eerie Impulse,,Lowers the target's Sp. Atk by 2.,Lowers the target's Special Attack by 2 stages.,相手の特攻を2段階下げる。,"相手の特攻ランクを2段階下げる。"
moves,eeriespell,Eerie Spell,,Removes 3 PP from the target's last move.,"If this move is successful and the user has not fainted, the target loses 3 PP from its last move.",相手の最後に出した技のPPを3減らす。,"相手が最後に使った技のPPを3減らす。"
moves,electricterrain,Electric Terrain,,"5 turns. Grounded: +Electric power, can't sleep.","For 5 turns, the terrain becomes Electric Terrain. During the effect, the power of Electric-type attacks made by grounded Pokemon is multiplied by 1.3 and grounded Pokemon cannot fall asleep; Pokemon already asleep do not wake up. Grounded Pokemon cannot become affected by Yawn or fall asleep from its effect. Camouflage transforms the user into an Electric type, Nature Power becomes Thunderbolt, and Secret Power has a 30% chance to cause paralysis. Fails if the current terrain is Electric Terrain.",5ターンの間、電気を帯びる。眠らず電気技強化。,"5ターンの間、足がついているポケモンは眠らなくなり、電気タイプの技の威力が1.3倍になる。"
moves,electrify,Electrify,,Changes the target's move to Electric this turn.,"Causes the target's move to become Electric type this turn. Among effects that can change a move's type, this effect happens last. Fails if the target already moved this turn.",相手の技を電気タイプに変える。,"対象のそのターンの技を電気タイプに変える。"
moves,electroball,Electro Ball,,More power the faster the user is than the target.,"The power of this move depends on (user's current Speed / target's current Speed), rounded down. Power is equal to 150 if the result is 4 or more, 120 if 3, 80 if 2, 60 if 1, 40 if less than 1. If the target's current Speed is 0, this move's power is 40.",自分の方が素早いほど威力が上がる。,"自分の方が素早さが高いほど威力が上がる（最大威力150）。"
moves,electroshot,Electro Shot,,"Raises Sp. Atk by 1, hits turn 2. Rain: no charge.","This attack charges on the first turn and executes on the second. Raises the user's Special Attack by 1 stage on the first turn. If the user is holding a Power Herb or the weather is Primordial Sea or Rain Dance, the move completes in one turn. If the user is holding Utility Umbrella and the weather is Primordial Sea or Rain Dance, the move still requires a turn to charge.",特攻を上げ、次ターン攻撃。雨時は即時攻撃。,"1ターン目に特攻ランクを1段階上げ、2ターン目に攻撃する。雨の時はチャージなしで攻撃できる。"
moves,electroweb,Electroweb,,100% chance to lower the foe(s) Speed by 1.,Has a 100% chance to lower the target's Speed by 1 stage.,100%で相手の素早さを1段階下げる。,"100%の確率で相手の素早さランクを1段階下げる。"
moves,encore,Encore,,Target repeats its last move for its next 3 turns.,"For its next 3 turns, the target is forced to repeat its last move used. If the affected move runs out of PP, the effect ends. Fails if the target is already under this effect, if it has not made a move, if the move has 0 PP, or if the move is Assist, Blazing Torque, Combat Torque, Copycat, Dynamax Cannon, Encore, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Sketch, Sleep Talk, Struggle, Transform, or Wicked Torque.",3ターンの間、相手の技を繰り返させる。,"3ターンの間、相手が最後に使った技しか出せなくなる。"
moves,endeavor,Endeavor,,Lowers the target's HP to the user's HP.,Deals damage to the target equal to (target's current HP - user's current HP). The target is unaffected if its current HP is less than or equal to the user's current HP.,自分のHPと同じになるよう相手のHPを削る。,"相手のHPを自分と同じになるまで減らす。"
moves,endure,Endure,,User survives attacks this turn with at least 1 HP.,"The user will survive attacks made by other Pokemon during this turn with at least 1 HP. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",必ずHP1残して耐える。,"そのターンの攻撃を必ずHP1だけ残して耐える。連続で使うと失敗しやすい。"
moves,energyball,Energy Ball,,10% chance to lower the target's Sp. Def by 1.,Has a 10% chance to lower the target's Special Defense by 1 stage.,10%で相手の特防を1段階下げる。,"10%の確率で相手の特防ランクを1段階下げる。"
moves,entrainment,Entrainment,,The target's Ability changes to match the user's.,"Causes the target's Ability to become the same as the user's. Fails if the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Truant, Zen Mode, or Zero to Hero, or the same Ability as the user, or if the user's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Flower Gift, Forecast, Hunger Switch, Ice Face, Illusion, Imposter, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Power of Alchemy, Protosynthesis, Quark Drive, Receiver, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Trace, Wonder Guard, Zen Mode, or Zero to Hero.",相手の特性を自分と同じにする。,"対象の特性を自分と同じにする。"
moves,eruption,Eruption,,Less power as user's HP decreases. Hits foe(s).,"Power is equal to (user's current HP * 150 / user's maximum HP), rounded down, but not less than 1.",自分のHPが減るほど威力が下がる。,"自分の残りHPが多いほど威力が上がる（最大威力150）。"
