section,id,name,nameJa,shortDescEn,descEn,shortDescJa,descJa
abilities,angerpoint,Anger Point,いかりのつぼ,"If this Pokemon (not its substitute) takes a critical hit, its Attack is raised 12 stages.","If this Pokemon, but not its substitute, is struck by a critical hit, its Attack is raised by 12 stages.",急所に当たると攻撃が最大になる。,自分や味方の攻撃が急所に当たると『こうげき』ランクが最大まで上がる。
abilities,angershell,Anger Shell,いかりのこうら,"At 1/2 or less of this Pokemon's max HP: +1 Atk, Sp. Atk, Spe, and -1 Def, Sp. Def.","When this Pokemon has more than 1/2 its maximum HP and takes damage from an attack bringing it to 1/2 or less of its maximum HP, its Attack, Special Attack, and Speed are raised by 1 stage, and its Defense and Special Defense are lowered by 1 stage. This effect applies after all hits from a multi-hit move. This effect is prevented if the move had a secondary effect removed by the Sheer Force Ability.",HPが半分以下になると能力が変化する。,HPが半分以下になった時、『こうげき』『とくこう』『すばやさ』ランクが1段階上がり、『ぼうぎょ』『とくぼう』ランクが1段階下がる。
abilities,anticipation,Anticipation,きけんよち,"On switch-in, this Pokemon shudders if any foe has a supereffective or OHKO move.","On switch-in, this Pokemon is alerted if any opposing Pokemon has an attacking move with a type that is super effective against this Pokemon, or any OHKO move. This effect considers Hidden Power to be its determined type, and every other move to be its original type.",相手の弱点や一撃必殺技がわかる。,バトルに出た時、相手が持っている、自分に対して効果抜群の技や、一撃必殺の技がわかると身震いする。
abilities,arenatrap,Arena Trap,ありじごく,Prevents opposing Pokemon from choosing to switch out unless they are airborne.,"Prevents opposing Pokemon from choosing to switch out unless they are airborne, are holding a Shed Shell, or are a Ghost type.",相手は逃げられなくなる。,地面にいる相手は逃げられなくなる。
abilities,armortail,Armor Tail,テイルアーマー,This Pokemon and its allies are protected from opposing priority moves.,Priority moves used by opposing Pokemon targeting this Pokemon or its allies are prevented from having an effect.,相手の先制技を防ぐ。,自分や味方は、相手の先制技を受けなくなる。
abilities,aromaveil,Aroma Veil,アロマベール,"Protects user/allies from Attract, Disable, Encore, Heal Block, Taunt, and Torment.","This Pokemon and its allies cannot become affected by Attract, Disable, Encore, Heal Block, Taunt, or Torment.",味方を状態異常から守る。,自分や味方は、相手から魅了、アンコール、金縛り、挑発、回復封じ、悩み種などの状態を受けなくなる。
abilities,asoneglastrier,As One (Glastrier),じんばいったい,Combination of the Unnerve and Chilling Neigh Abilities.,Combination of the Unnerve and Chilling Neigh Abilities.,きんちょうかんとしろのいななきの効果。,『きんちょうかん』と『しろのいななき』の両方の効果を持つ。
abilities,asonespectrier,As One (Spectrier),じんばいったい,Combination of the Unnerve and Grim Neigh Abilities.,Combination of the Unnerve and Grim Neigh Abilities.,きんちょうかんとくろのいななきの効果。,『きんちょうかん』と『くろのいななき』の両方の効果を持つ。
abilities,aurabreak,Aura Break,オーラブレイク,"While this Pokemon is active, the Dark Aura and Fairy Aura power modifier is 0.75x.","While this Pokemon is active, the effects of the Dark Aura and Fairy Aura Abilities are reversed, multiplying the power of Dark- and Fairy-type moves, respectively, by 3/4 instead of 1.33.",オーラの効果を反転させる。,『ダークオーラ』や『フェアリーオーラ』による技の威力上昇効果を反転させ、威力を下げる。
abilities,baddreams,Bad Dreams,ナイトメア,Causes sleeping foes to lose 1/8 of their max HP at the end of each turn.,"Causes opposing Pokemon to lose 1/8 of their maximum HP, rounded down, at the end of each turn if they are asleep.",眠っている相手のHPを減らす。,眠っている相手のHPを毎ターン終了時に最大HPの1/8ずつ減らす。
abilities,ballfetch,Ball Fetch,たまひろい,No competitive use.,No competitive use.,ボールを拾ってくる。,戦闘で使ったモンスターボールを拾ってくることがある（対戦効果なし）。
