section,id,name,nameJa,shortDescEn,descEn,shortDescJa,descJa
moves,liquidation,Liquidation,,20% chance to lower the target's Defense by 1.,Has a 20% chance to lower the target's Defense by 1 stage.,20%で相手の防御を1段階下げる。,"20%の確率で相手の防御ランクを1段階下げる。"
moves,lockon,Lock-On,,User's next move will not miss the target.,"Until the end of the next turn, the target cannot avoid the user's moves, even if the target is in the middle of a two-turn move. The effect ends if either the user or the target leaves the field. Fails if this effect is active for the user.",次の自分の技が必中になる。,"次のターンの終わりまで、相手は自分の技を回避できなくなる。"
moves,lowkick,Low Kick,,More power the heavier the target.,"This move's power is 20 if the target weighs less than 10 kg, 40 if less than 25 kg, 60 if less than 50 kg, 80 if less than 100 kg, 100 if less than 200 kg, and 120 if greater than or equal to 200 kg.",相手が重いほど威力が上がる。,"相手の体重が重いほど威力が上がる（威力20〜120）。"
moves,lowsweep,Low Sweep,,100% chance to lower the target's Speed by 1.,Has a 100% chance to lower the target's Speed by 1 stage.,100%で相手の素早さを1段階下げる。,"100%の確率で相手の素早さランクを1段階下げる。"
moves,luminacrash,Lumina Crash,,100% chance to lower the target's Sp. Def by 2.,Has a 100% chance to lower the target's Special Defense by 2 stages.,100%で相手の特防を2段階下げる。,"100%の確率で相手の特防ランクを2段階下げる。"
moves,lunge,Lunge,,100% chance to lower the target's Attack by 1.,Has a 100% chance to lower the target's Attack by 1 stage.,100%で相手の攻撃を1段階下げる。,"100%の確率で相手の攻撃ランクを1段階下げる。"
moves,machpunch,Mach Punch,,Usually goes first.,No additional effect.,先制攻撃を行う。,"優先度+1の先制技。"
moves,magicpowder,Magic Powder,,Changes the target's type to Psychic.,"Causes the target to become a Psychic type. Fails if the target is an Arceus or a Silvally, if the target is already purely Psychic type, or if the target is Terastallized.",相手をエスパータイプに変える。,"相手のタイプをエスパータイプに変える。"
moves,magicroom,Magic Room,,"For 5 turns, all held items have no effect.","For 5 turns, the held items of all active Pokemon have no effect. An item's effect of causing forme changes is unaffected, but any other effects from such items are negated. During the effect, Fling and Natural Gift are prevented from being used by all active Pokemon. If this move is used during the effect, the effect ends.",5ターンの間、持ち物の効果を消す。,"5ターンの間、場にいるすべてのポケモンの持ち物の効果を無効化する。"
moves,magneticflux,Magnetic Flux,,"Raises Def, Sp. Def of allies with Plus/Minus by 1.",Raises the Defense and Special Defense of Pokemon on the user's side with the Plus or Minus Abilities by 1 stage.,プラス・マイナスの味方の防御・特防を1段階上げる。,"特性「プラス」または「マイナス」を持つ味方の防御・特防ランクを1段階上げる。"
moves,magnetrise,Magnet Rise,,"For 5 turns, the user has immunity to Ground.","For 5 turns, the user is immune to Ground-type attacks and the effects of Spikes, Toxic Spikes, Sticky Web, and the Arena Trap Ability as long as it remains active. If the user uses Baton Pass, the replacement will gain the effect. Ingrain, Smack Down, Thousand Arrows, and Iron Ball override this move if the user is under any of their effects. Fails if the user is already under this effect or the effects of Ingrain, Smack Down, or Thousand Arrows.",5ターンの間、地面技を無効化。,"5ターンの間、地面技や設置技を無効にする（浮遊状態になる）。"
moves,matchagotcha,Matcha Gotcha,,20% burn. Recovers 50% dmg dealt. Thaws foe(s).,"Has a 20% chance to burn the target. The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down. The target thaws out if it is frozen.",20%で火傷。与えたダメージの50%回復。,"20%の確率で「やけど」状態にし、与えたダメージの1/2を回復する。相手が凍っていたら溶かす。"
moves,meanlook,Mean Look,,Prevents the target from switching out.,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field.",相手を逃げられなくする。,"相手を交代できなくする。"
moves,megahorn,Megahorn,,No additional effect.,No additional effect.,追加効果なし。,"特に追加効果なし。"
moves,megakick,Mega Kick,,No additional effect.,No additional effect.,追加効果なし。,"特に追加効果なし。"
moves,memento,Memento,,"Lowers target's Attack, Sp. Atk by 2. User faints.","Lowers the target's Attack and Special Attack by 2 stages. The user faints unless this move misses or there is no target. Fails entirely if this move hits a substitute, but does not fail if the target's stats cannot be changed.",相手の攻撃・特攻を2段階下げ、自分は倒れる。,"相手の攻撃・特攻ランクを2段階ずつ下げ、自分はひんし状態になる。"
moves,metalburst,Metal Burst,,"If hit by an attack, returns 1.5x damage.","Deals damage to the last opposing Pokemon to hit the user with a physical or special attack this turn equal to 1.5 times the HP lost by the user from that attack, rounded down. If the user did not lose HP from that attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's physical or special attack this turn.",受けたダメージを1.5倍にして返す。,"このターンに受けたダメージの1.5倍を相手に返す。"
moves,metalsound,Metal Sound,,Lowers the target's Sp. Def by 2.,Lowers the target's Special Defense by 2 stages.,相手の特防を2段階下げる。,"相手の特防ランクを2段階下げる。"
moves,meteorbeam,Meteor Beam,,Raises user's Sp. Atk by 1 on turn 1. Hits turn 2.,"This attack charges on the first turn and executes on the second. Raises the user's Special Attack by 1 stage on the first turn. If the user is holding a Power Herb, the move completes in one turn.",1ターン目に特攻を上げ、2ターン目に攻撃。,"1ターン目に特攻ランクを1段階上げ、2ターン目に攻撃する。"
moves,meteormash,Meteor Mash,,20% chance to raise the user's Attack by 1.,Has a 20% chance to raise the user's Attack by 1 stage.,20%で自分の攻撃が1段階上がる。,"20%の確率で自分の攻撃ランクが1段階上がる。"
moves,milkdrink,Milk Drink,,Heals the user by 50% of its max HP.,"The user restores 1/2 of its maximum HP, rounded half up.",最大HPの50%回復。,"最大HPの1/2を回復する。"
moves,minimize,Minimize,,Raises the user's evasiveness by 2.,"Raises the user's evasiveness by 2 stages. Whether or not the user's evasiveness was changed, Body Slam, Dragon Rush, Flying Press, Heat Crash, Heavy Slam, Malicious Moonsault, Steamroller, Stomp, and Supercell Slam will not check accuracy and have their damage doubled if used against the user while it is active.",自分の回避率を2段階上げる。,"自分の回避率ランクを2段階上げる。"
moves,mirrorcoat,Mirror Coat,,"If hit by special attack, returns double damage.","Deals damage to the last opposing Pokemon to hit the user with a special attack this turn equal to twice the HP lost by the user from that attack. If the user did not lose HP from the attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's special attack this turn.",受けた特殊ダメージを2倍にして返す。,"このターンに受けた特殊技のダメージの2倍を相手に返す。"
moves,mistyexplosion,Misty Explosion,,User faints. User on Misty Terrain: 1.5x power.,"If the current terrain is Misty Terrain and the user is grounded, this move's power is multiplied by 1.5. The user faints after using this move, even if this move fails for having no target. This move is prevented from executing if any active Pokemon has the Damp Ability.",使用後、自分は倒れる。ミストフィールド時1.5倍。,"使用後、自分はひんし状態になる。ミストフィールド時は威力が1.5倍になる。"
