section,id,name,nameJa,shortDescEn,descEn,shortDescJa,descJa
abilities,regenerator,Regenerator,さいせいりょく,"This Pokemon restores 1/3 of its maximum HP, rounded down, when it switches out.","This Pokemon restores 1/3 of its maximum HP, rounded down, when it switches out.",手持ちに戻ると最大HPの1/3回復。,手持ちに戻ると、最大HPの1/3を回復する。
abilities,ripen,Ripen,じゅくせい,"When this Pokemon eats certain Berries, the effects are doubled.","When this Pokemon eats certain Berries, the effects are doubled. Berries that restore HP or PP have the amount doubled, Berries that raise stat stages have the amount doubled, Berries that halve damage taken quarter it instead, and a Jaboca Berry or Rowap Berry has the attacker lose 1/4 of its maximum HP, rounded down.",木の実の効果が2倍になる。,食べるきのみの効果が2倍になる（回復量、能力上昇、半減効果などが倍加）。
abilities,rivalry,Rivalry,とうそうしん,This Pokemon's attacks do 1.25x on same gender targets; 0.75x on opposite gender.,This Pokemon's attacks have their power multiplied by 1.25 against targets of the same gender or multiplied by 0.75 against targets of the opposite gender. There is no modifier if either this Pokemon or the target is genderless.,異性には弱く同性には強くなる。,自分と同性の相手には技の威力が1.25倍、異性の相手には0.75倍になる。
abilities,rkssystem,RKS System,ＡＲシステム,"If this Pokemon is a Silvally, its type changes to match its held Memory.","If this Pokemon is a Silvally, its type changes to match its held Memory.",持っているメモリでタイプが変わる。,持っている「メモリ」によって、自分のタイプが変わる。
abilities,rockhead,Rock Head,いしあたま,This Pokemon does not take recoil damage besides Struggle/Life Orb/crash damage.,"This Pokemon does not take recoil damage, except Struggle. Does not affect Life Orb damage or crash damage.",反動技を受けても平気。,反動ダメージを受ける技を使っても、反動を受けない（「わるあがき」を除く）。
abilities,rockypayload,Rocky Payload,いわはこび,This Pokemon's offensive stat is multiplied by 1.5 while using a Rock-type attack.,This Pokemon's offensive stat is multiplied by 1.5 while using a Rock-type attack.,岩技の威力が1.5倍になる。,岩タイプの技を使う時、威力が1.5倍になる。
abilities,roughskin,Rough Skin,さめはだ,Pokemon making contact with this Pokemon lose 1/8 of their max HP.,"Pokemon making contact with this Pokemon lose 1/8 of their maximum HP, rounded down.",触れた相手に1/8のダメージ。,接触技を受けた時、相手に最大HPの1/8のダメージを与える。
abilities,runaway,Run Away,にげあし,No competitive use.,No competitive use.,必ず逃げられる。,野生のポケモンから必ず逃げられる（対戦での効果なし）。
abilities,sandforce,Sand Force,すなのちから,This Pokemon's Ground/Rock/Steel attacks do 1.3x in Sandstorm; immunity to it.,"If Sandstorm is active, this Pokemon's Ground-, Rock-, and Steel-type attacks have their power multiplied by 1.3. This Pokemon takes no damage from Sandstorm.",砂嵐で岩・地面・鋼技の威力1.3倍。,天気が砂嵐の時、岩・地面・鋼タイプの技の威力が1.3倍になり、砂嵐のダメージも受けない。
abilities,sandrush,Sand Rush,すなかき,"If Sandstorm is active, this Pokemon's Speed is doubled; immunity to Sandstorm.","If Sandstorm is active, this Pokemon's Speed is doubled. This Pokemon takes no damage from Sandstorm.",砂嵐で素早さが2倍になる。,天気が砂嵐の時、素早さが2倍になり、砂嵐のダメージも受けない。
abilities,sandspit,Sand Spit,すなはき,"When this Pokemon is hit by an attack, the effect of Sandstorm begins.","When this Pokemon is hit by an attack, the effect of Sandstorm begins.",攻撃を受けると砂嵐を起こす。,攻撃を受けると天気が砂嵐になる。
abilities,sandstream,Sand Stream,すなおこし,"On switch-in, this Pokemon summons Sandstorm.","On switch-in, this Pokemon summons Sandstorm.",バトルに出ると砂嵐を起こす。,バトルに出た時、天気が砂嵐になる。
abilities,sandveil,Sand Veil,すながくれ,"If Sandstorm is active, this Pokemon's evasiveness is 1.25x; immunity to Sandstorm.","If Sandstorm is active, the accuracy of moves used against this Pokemon is multiplied by 0.8. This Pokemon takes no damage from Sandstorm.",砂嵐で回避率が1.25倍になる。,天気が砂嵐の時、相手の技の命中率が0.8倍（回避率が実質1.25倍）になり、砂嵐のダメージも受けない。
abilities,sapsipper,Sap Sipper,そうしょく,This Pokemon's Attack is raised 1 stage if hit by a Grass move; Grass immunity.,This Pokemon is immune to Grass-type moves and raises its Attack by 1 stage when hit by a Grass-type move.,草技を無効化し攻撃1段階アップ。,草タイプの技を受けると無効化し、攻撃が1段階上がる。
